industry_name,employer_name,filer_name,total_donations,total_donation_amount,total_donors
EDUCATION,MONTESSORI CHILDREN'S CENTER,DEAN PRESTON FOR SUPERVISOR 2019,1,150,1
CONSULTING (POLITICS),STEVE KAWA STRATEGIC ADVISING,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
EDUCATION,KELLENBERG MEMORIAL HIGH SCHOOL,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
ARCHITECTURE/ENGINEERING,HANDEL ARCHITECTS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
NON-PROFIT (COMMUNITY),EPISCOPAL COMMUNITY SERVICES,DEAN PRESTON FOR SUPERVISOR 2019,2,200,1
HEALTHCARE (PROVIDER),MAD RIVER COMMUNITY HOSPITAL,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
HEALTHCARE (PROVIDER),NORTH EAST MEDICAL SERVICES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,200,1
NON-PROFIT (COMMUNITY),CHINATOWN DEVELOPMENT CENTER,DEAN PRESTON FOR SUPERVISOR 2019,2,200,1
EDUCATION,KIDS CONNECTION ELEMENTARY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
ARCHITECTURE/ENGINEERING,TS STUDIO,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,150,1
NA,FRANCHISE OPERATIONS DIRECTOR,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
NA,BURTON ZARTEL BINZEL + MILLER,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
NA,FIVUT VOICE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
EDUCATION,MICHIGAN STATE UNIVERSITY,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
FINANCE,LENDFRIEND,DEAN PRESTON FOR SUPERVISOR 2019,1,150,1
NON-PROFIT (COMMUNITY),HOUSING RIGHTS COMMITTEE OF SAN FRANCISCO,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TECH,ZETA GLOBAL,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
FINANCE,ALAMEDA COUNTY COMMUNITY FOOD BANK,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
ARCHITECTURE/ENGINEERING,SCHAUB LY ARCHITECTS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
HEALTHCARE (PROVIDER),LIVEWEU MEDICAL CLINIC,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,150,1
EDUCATION,DIABLO VALLEY COLLEGE,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,BALDERAMA LAW FIRM,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),IRIS STATISTICAL COMPUTING,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
CONSULTING (DESIGN/ENGINEERING),GEOSYNTEC CONSULTANTS,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
GOVERNMENT,CITY OF BELLEVUE,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
CONSULTING (POLITICS),LAURIE JONES NEIGHBORS CONSULTING,DEAN PRESTON FOR SUPERVISOR 2019,2,350,1
CONSULTING (BUSINESS),MARMON BIOSTATISTICS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
HEALTHCARE (PROVIDER),GRATEFUL HEART HOLISTIC THERAPY CENTER,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (COMMUNITY),WALK SAN FRANCISCO,DEAN PRESTON FOR SUPERVISOR 2019,2,100,1
TELECOMMUNICATIONS,EXPETO WIRELESS,DEAN PRESTON FOR SUPERVISOR 2019,2,200,1
CONSULTING (BUSINESS),AXIOM DEVELOPMENT CORPORATION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
TECH,EVERNOTE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
FOOD SERVICE,THE CAVALIER SF,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
UNION,NATIONAL UNION OF HEALTHCARE WORKERS,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (DEVELOPER),THE BANNER DEVELOPMENT COMPANY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
TECH,DOUBLE CROWN GAMING CO.,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
MANUFACTURING,TCM AMERICA CORP,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
MEDIA,FUTURE WORLD PICTURES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
REAL ESTATE (INVESTMENT),DDG PARTNERS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
MEDIA,BERNAL BEACH FILMS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
HEALTHCARE (PROVIDER),ASIAN HEALTH SERVICES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
ENTERTAINMENT,UBISOFT ENTERTAINMENT,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
EDUCATION,STANFORD UNIVERSITY,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
PRIVATE LAW,LAW OFFICE OF CARL J. WILLIAMS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,500,1
TECH,UNION SQUARE BUSINESS IMPROVEMENT DISTRICT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
MEDIA,HOODLINE,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TECH,AIRTABLE,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
EDUCATION,BOOM LEARNING,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
CONSULTING (BUSINESS),THE HENKLE GROUP,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
TECH,FLEETSMITH,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
HOSPITALITY,NIKKO HOTEL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
TECH,CONTENTFUL,DEAN PRESTON FOR SUPERVISOR 2019,2,350,1
OTHER SERVICES,FOUR LEGGED FITNESS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),WILLIAMS LEA,DEAN PRESTON FOR SUPERVISOR 2019,2,300,1
FOOD SERVICE,JIKA JAPANESE RAMEN,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
OTHER SERVICES,MARINA SECURITIES SERVICES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
MEDIA,24 EAST,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),DNA INK,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
ENTERTAINMENT,CAT CLUB,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
NON-PROFIT (COMMUNITY),COMMUNITY LIVING CAMPAIGN,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
TECH,SALESFORCE,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TECH,SALESFORCE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,350,1
GOVERNMENT,SAN FRANCISCO HOUSING AUTHORITY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
MEDIA,HEATHER ELDER REPRESENTS,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TECH,PROOFPOINT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,200,1
FOOD SERVICE,MINI BAR SF,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,150,1
TECH,AIRBNB,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
OTHER SERVICES,THE DAVEY TREE EXPERT COMPANY,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
CONSULTING (BUSINESS),MILLIMAN,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
NON-PROFIT (COMMUNITY),SAN FRANCISCO HISTORIC PRESERVATION COMMISSION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,LAW OFFICE OF MARK R. VERMEULEN,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
NON-PROFIT (COMMUNITY),CHINATOWN COMMUNITY DEVELOPMENT CENTER,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,JOHN BURTON PC,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
FINANCE,BERKSHIRE HATHAWAY,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (REALTOR),REMAX,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
GOVERNMENT,SAN FRANCISCO LONG-TERM CARE OMBUDSMAN PROGRAM,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,500,1
NON-PROFIT (COMMUNITY),NORTHERN CALIFORNIA GRANTMAKERS,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
FOOD SERVICE,CULINARY MAGIC,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
FINANCE,SECURITY FINANCIAL MANAGEMENT CORP,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
REAL ESTATE (INVESTMENT),SHORENSTEIN,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
MANUFACTURING,ALBION POWER CO,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),BAY AREA COUNCIL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (MARKETING),ROCKET SCIENCE ASSOCIATES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
GOVERNMENT,CITY OF LOS ANGELES,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
BUILDING TRADES,BEST MARBLE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
PRIVATE LAW,RENNE PUBLIC LAW GROUP,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
ARCHITECTURE/ENGINEERING,COFFMAN ENGINEERS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (DESIGN/ENGINEERING),S. ABRAMOVICH DESIGN,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
BUILDING TRADES,PLANT CONSTRUCTION CO LP,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,LAW OFFICES OF MARY CATHERINE WIEDERHOLD,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TECH,CENTRIX,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),SPARROW EDUCATIONAL CONSULTING,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
NON-PROFIT (COMMUNITY),A HOME WITHIN,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
EDUCATION,PERALTA COMMUNITY COLLEGE DISTRICT,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
FINANCE,BISHOP ROCK CAPITAL,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
HEALTHCARE (PROVIDER),ST FRANCIS HOSPITAL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
MEDIA,THE LAGUNA 500,DEAN PRESTON FOR SUPERVISOR 2019,1,150,1
FOOD SERVICE,SAY CHEESE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,LANE POWELL PROFESSIONAL CORPORATION,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TECH,ASANA,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
HEALTHCARE (PROVIDER),CHINESE HOSPITAL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
TELECOMMUNICATIONS,MONKEYBRAINS.NET,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
MANUFACTURING,MODBOT,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
FOOD SERVICE,OLD SHANGHAI RESTAURANT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
FINANCE,ACRE VENTURE PARTNERS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,LAW OFFICE OF NATHALIE LEZAMA FERRO,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
GOVERNMENT,SAN FRANCISCO MUNICIPAL TRANSPORTATION AGENCY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,200,1
CONSULTING (POLITICS),EMERGE AMERICA,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
AGRICULTURE,EMANCIPATION ACRES,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
FINANCE,UNION BANK,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
CONSULTING (DESIGN/ENGINEERING),CUSTOM FURNITURE DESIGN BY THOMAS FETHERSTON,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TENANT LAW,LEDA LAW,DEAN PRESTON FOR SUPERVISOR 2019,1,400,1
CONSULTING (BUSINESS),BRATTLE GROUP,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
EDUCATION,CALIFORNIA SCHOOL BOARD ASSOCIATION,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
HEALTHCARE (PROVIDER),CHINESE MEDICINE WORKS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
BUILDING TRADES,JEFFREY ENG CONSTRUCTION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
ENTERTAINMENT,LIVE NATION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
CONSULTING (POLITICS),CLAUDINE CHENG CONSULTANTS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
NON-PROFIT (COMMUNITY),MISSION NEIGHBORHOOD CENTER,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (REALTOR),COMPASSIONATE HEALTH OPTIONS,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
NON-PROFIT (COMMUNITY),SAN FRANCISCO BEAUTIFUL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,350,1
GOVERNMENT,THE OUTCAST AGENCY,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
POLITICS,SAN FRANCISCO RISING,DEAN PRESTON FOR SUPERVISOR 2019,1,150,1
FINANCE,BLOOMBERG,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,125,1
REAL ESTATE (DEVELOPER),AGI AVANT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
NA,CHU KAY CHEN,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
EDUCATION,NORTHWESTERN UNIVERSITY,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
GOVERNMENT,COUNTY OF SAN MATEO,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
RELIGION,AMERICAN FRIENDS SERVICES COMMITTEE,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (REALTOR),THE NUNEMACHER GROUP,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,TREVOR CAUDLE LAW PRACTICE,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
REAL ESTATE (DEVELOPER),MICHAEL SIMMONS PROPERTY DEVELOPMENT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
OTHER SERVICES,PRUNE BUGGY,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
PRIVATE LAW,LAW OFFICE OF MATT SULLIVAN,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,MAIER LAW GROUP,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),RABIN WORLDWIDE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),ANDREA BAKER CONSULTING,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (POLITICS),PJ JOHNSTON,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (REALTOR),LAUREL VILLAGE REALTORS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,LAW OFFICES OF CONOR GRANAHAN,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
BUILDING TRADES,WEI LI CONSTRUCTION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (INVESTMENT),JONES LANG LASALLE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (LAW),EVICTION DEFENSE CENTER,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
AGRICULTURE,ELLISTON VINYARDS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
FOOD SERVICE,THE STUD,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
MEDIA,CBS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
GOVERNMENT,GOLDEN GATE BRIDGE HIGHWAY AND TRANSPORTATION DISTRICT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
NA,BEATRICE RICHARDSON,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,SALINAS LAW GROUP,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
OTHER SERVICES,KAY TANEYHILL PHOTOGRAPHY,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (INVESTMENT),ERIC SCHLEELEIN REAL ESTATE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (INVESTMENT),EASTDIL SECURED,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (LANDLORD),MAKRAS REAL ESTATE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
GOVERNMENT,EAST BAY MUNICIPAL UTILITY DISTRICT,DEAN PRESTON FOR SUPERVISOR 2019,1,150,1
HEALTHCARE (INSURANCE),DELTA DENTAL,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (LANDLORD),STEELE PROPERTIES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
TECH,PLANGRID,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
CANNABIS,GRASS ROOTS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
CONSULTING (BUSINESS),HIGGINS STRATEGY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,200,1
REAL ESTATE (REALTOR),LENA EMMERY REAL ESTATE BROKER,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,500,1
ENERGY,ENERGY EXPERTS INTERNATIONAL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,3,500,1
TECH,STRIPE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
TECH,STRIPE,DEAN PRESTON FOR SUPERVISOR 2019,3,400,1
NON-PROFIT (COMMUNITY),PUBLIC INTEREST LAW PROJECT,DEAN PRESTON FOR SUPERVISOR 2019,2,200,1
