donation_id,date,filer_id
INC342,2018-12-12,1407918
INC405,2018-12-27,1407918
INC113,2018-10-01,1407918
INC110,2018-09-28,1407918
INC359,2018-12-18,1407918
DCyZqt7K5Rae,2018-11-30,1408942
t8kLAjlhHZgY,2018-12-30,1408942
7kSCmPchykMf,2018-09-06,1408942
CJ7olAmsBprX,2018-12-31,1408942
WE3x37iMJnEk,2018-12-10,1408942
MJzTbc2Jyco9,2018-10-10,1408942
qpw8uk1TIe47,2018-12-31,1408942
INC406,2018-12-27,1407918
N8crUFhbtfMX,2018-12-31,1408942
kxQFecxvCtn7,2018-09-14,1408942
OFWfHsJP6bWg,2018-09-07,1408942
HLtb53Wmgdbn,2018-08-25,1408942
bugazMMZnmfE,2018-12-28,1408942
INC353,2018-12-06,1407918
Hk6qx2DjhlmH,2018-12-30,1408942
gCp8FnTUFm8b,2018-12-29,1408942
INC266,2018-11-16,1407918
INC214,2018-11-13,1407918
INC48,2018-09-11,1407918
INC80,2018-09-28,1407918
pM6BuJDH5U8P,2018-11-11,1408942
INC9,2018-08-22,1407918
INC264,2018-11-16,1407918
Abx5JglYgzhk,2018-10-22,1408942
26AkxQOs4mhH,2018-09-05,1408942
INC275,2018-11-28,1407918
R4Eeq44sRxhV,2018-10-04,1408942
gBxkvOEvIRHw,2018-12-21,1408942
INC91,2018-10-03,1407918
jwtsqUokewkW,2018-10-21,1408942
xIEfonMeBUm1,2018-08-23,1408942
INC373,2018-12-20,1407918
INC316,2018-11-30,1407918
INC114,2018-10-01,1407918
xhPLjlZgI91x,2018-12-26,1408942
INC415,2018-12-28,1407918
dwAY3nZuqIai,2018-09-04,1408942
8N7FF7isc2eR,2018-09-07,1408942
f4EdPl5HYTmk,2018-12-30,1408942
EtFScVJmDVMm,2018-12-30,1408942
ZAHIwezxF2hR,2018-11-26,1408942
XUhyhySXIRyn,2018-12-12,1408942
INC363,2018-12-20,1407918
INC403,2018-12-27,1407918
INC93,2018-10-04,1407918
INC65,2018-09-24,1407918
INC430,2018-12-28,1407918
ViZKGvJjqK7N,2018-12-31,1408942
inm88tic29qw,2018-12-23,1408942
INC103,2018-10-06,1407918
INC169,2018-10-24,1407918
CpGZ26rXBdno,2018-11-07,1408942
INC376,2018-12-20,1407918
LlTci3arwaay,2018-08-30,1408942
INC96,2018-10-04,1407918
INC75,2018-09-27,1407918
NK89gXExjV1M,2018-12-24,1408942
dQBJj1AyMG2J,2018-09-25,1408942
INC361,2018-12-19,1407918
lAtuYQpfGfa9,2018-12-23,1408942
ev4oyCspOugm,2018-12-27,1408942
UlrZdrVwQ83t,2018-11-28,1408942
cBr4jK1mEplp,2018-12-27,1408942
INC330,2018-12-07,1407918
INC43,2018-09-05,1407918
INC450,2018-12-12,1407918
YogfYatUv875,2018-12-30,1408942
SpfY82VXNODS,2018-09-26,1408942
INC448,2018-12-19,1407918
fHjw52rGgo2I,2018-09-24,1408942
INC325,2018-12-04,1407918
INC203,2018-11-09,1407918
jwWzyXbjVV8m,2018-12-20,1408942
INC274,2018-11-28,1407918
QLtlmVqxlk7i,2018-12-31,1408942
INC2,2018-08-13,1407918
INC409,2018-12-27,1407918
Yj5crjwcffEj,2018-09-27,1408942
cAgVoHLkjAYl,2018-12-27,1408942
INC322,2018-12-03,1407918
ERxcpEHkNVLe,2018-12-21,1408942
INC412,2018-12-27,1407918
t8nUTupbhiHW,2018-12-27,1408942
ofSgSo4oErpE,2018-12-17,1408942
INC74,2018-09-27,1407918
INC366,2018-12-13,1407918
7Y64hsGAGAUv,2018-10-03,1408942
INC358,2018-12-18,1407918
INC117,2018-10-01,1407918
INC23,2018-08-27,1407918
rc1cLeRJZSV6,2018-12-31,1408942
bVuRcVMCZl52,2018-12-26,1408942
INC42,2018-09-05,1407918
hjeplSACRzUi,2018-12-15,1408942
TeTVeKnUkHfM,2018-08-24,1408942
INC102,2018-10-05,1407918
INC14,2018-08-22,1407918
jjwErM21FtDi,2018-12-05,1408942
INC394,2018-12-12,1407918
qkphCImkXq1P,2018-10-03,1408942
jZhPiQ8gvxZw,2018-12-27,1408942
Z24mdWtD1cEg,2018-09-12,1408942
INC390,2018-12-07,1407918
ByFW9ZgYd8XJ,2018-10-24,1408942
INC400,2018-11-29,1407918
SeFlWvVLCSF6,2018-12-31,1408942
sMr5mqxl3Ckx,2018-12-31,1408942
INC1,2018-08-09,1407918
MdiQ6zi8HD7L,2018-09-28,1408942
nfithK437pKU,2018-08-17,1408942
meTpcpDTNRzy,2018-10-29,1408942
INC13,2018-08-22,1407918
t3smjpbyNzWt,2018-10-02,1408942
INC97,2018-10-04,1407918
INC425,2018-12-11,1407918
7JdmFG9rCUDy,2018-08-23,1408942
yDbcTEjS31eG,2018-12-31,1408942
IJhjBZG9KAwi,2018-12-12,1408942
5ya9pKwzUEFN,2018-12-20,1408942
INC278,2018-11-28,1407918
ESAZW385OW5J,2018-10-17,1408942
INC352,2018-12-06,1407918
uVgq6a8NBjh1,2018-12-29,1408942
Ylpd1wBWtGfo,2018-12-29,1408942
ihQwWFN5nDqb,2018-10-26,1408942
w7pZR8p1lTe1,2018-12-27,1408942
INC112,2018-10-01,1407918
INC12,2018-08-22,1407918
NlRdUhGSXz5E,2018-11-27,1408942
ZfQj7aLgpH2v,2018-10-14,1408942
pcESb1P4Tj6Q,2018-09-08,1408942
E7foNtfKhIiu,2018-12-09,1408942
INC309,2018-11-30,1407918
o4K1SsOOqnCY,2018-09-09,1408942
NWhAMSuYyj2B,2018-12-09,1408942
gfvSHdwJnOhP,2018-10-03,1408942
RCWR8XiKGfOB,2018-12-29,1408942
EEeGC5FUtdMz,2018-12-27,1408942
QEdGV2IaSG3a,2018-10-19,1408942
INC224,2018-11-14,1407918
BnD26j3sGkV7,2018-11-16,1408942
INC187,2018-11-01,1407918
INC426,2018-12-14,1407918
INC407,2018-12-27,1407918
INC197,2018-11-06,1407918
INC172,2018-10-25,1407918
INC301,2018-11-30,1407918
qGyYhIOni1yr,2018-12-08,1408942
INC179,2018-10-22,1407918
INC254,2018-11-16,1407918
INC222,2018-11-13,1407918
INC370,2018-12-13,1407918
INC328,2018-12-06,1407918
INC20,2018-08-24,1407918
INC200,2018-11-09,1407918
umG7wmTLUloW,2018-08-30,1408942
Ol76I5NSN3NX,2018-12-31,1408942
9GSdj69xOeek,2018-10-17,1408942
znhdAWRfkDjq,2018-12-27,1408942
INC491,2018-12-27,1407918
INC444,2018-12-23,1407918
wygYukEcI57q,2018-10-02,1408942
INC304,2018-11-30,1407918
INC303,2018-11-30,1407918
INC420,2018-12-18,1407918
INC282,2018-11-30,1407918
INC449,2018-12-19,1407918
INC443,2018-12-07,1407918
ckQz6uCbVVda,2018-09-17,1408942
INC188,2018-11-02,1407918
INC225,2018-11-14,1407918
INC440,2018-12-20,1407918
INC228,2018-11-14,1407918
A6tf5fUgVnCY,2018-09-12,1408942
INC310,2018-11-30,1407918
INC230,2018-11-15,1407918
IYjJcZkr2pId,2018-11-12,1408942
INC86,2018-09-29,1407918
nLhqdbaafMMQ,2018-12-19,1408942
SnUh3aCNOx6D,2018-12-29,1408942
Kic1IH4O43fx,2018-11-29,1408942
INC263,2018-11-16,1407918
INC387,2018-12-07,1407918
INC218,2018-11-12,1407918
INC421,2018-12-18,1407918
Hfl6SIwcnW8X,2018-12-14,1408942
uZ4eJu3ZFY4i,2018-08-24,1408942
INC83,2018-09-28,1407918
INC368,2018-12-13,1407918
jMMPbzgXh6nj,2018-11-30,1408942
LDmhk2LgvdYu,2018-09-14,1408942
INC447,2018-12-20,1407918
9XZkElp3HN9d,2018-12-19,1408942
nueIbJoVyDKb,2018-11-28,1408942
INC77,2018-09-28,1407918
77BNGMoEylYd,2018-09-11,1408942
wj6ylsCxr5Fh,2018-12-03,1408942
gh4e4xr3hmb1,2018-10-20,1408942
INC271,2018-11-26,1407918
1b9dLkGAdgeq,2018-12-31,1408942
INC434,2018-12-01,1407918
NoaqotcjHhjs,2018-12-31,1408942
INC319,2018-11-30,1407918
ixBwl2fuRnHN,2018-10-30,1408942
nxWenUyu91Pf,2018-09-13,1408942
MTKM6TctkinA,2018-10-02,1408942
INC53,2018-09-19,1407918
Ty6nfZg8GDAL,2018-12-02,1408942
INC223,2018-11-14,1407918
CYcsk1ZY8pce,2018-09-09,1408942
INC372,2018-12-13,1407918
ERfzFns9heKC,2018-11-29,1408942
DNOVoPZYOIPs,2018-12-23,1408942
INC49,2018-09-15,1407918
3P2hqeLtGq3F,2018-12-14,1408942
8oUkyZf2BXwQ,2018-11-17,1408942
jO9gUf5ycaev,2018-08-17,1408942
INC76,2018-09-27,1407918
H2NDhw5Ji6Bg,2018-08-29,1408942
INC111,2018-10-01,1407918
2yZU2cWffPtl,2018-09-11,1408942
nLXbysbk4Vvb,2018-08-31,1408942
4kDC9jhnGfkd,2018-10-14,1408942
vmzJvfwp3jjV,2018-12-26,1408942
INC364,2018-12-21,1407918
Kp2QBTpb9trV,2018-09-09,1408942
TbG9iWAZBl5D,2018-12-15,1408942
WPvGwr95kOsw,2018-12-20,1408942
luthTSjtBMko,2018-09-18,1408942
IndkQewzEXYf,2018-11-28,1408942
xw2GLtlOdG63,2018-12-30,1408942
INC121,2018-10-01,1407918
INC391,2018-12-07,1407918
INC106,2018-10-07,1407918
Ind3v4Ae1q5R,2018-12-12,1408942
INC279,2018-11-29,1407918
kqJVGkcvlzfj,2018-11-25,1408942
INC118,2018-10-01,1407918
XpZh2GrqCl23,2018-11-11,1408942
mF7T49gWkceX,2018-12-29,1408942
HZwfJreAfslc,2018-12-30,1408942
INC410,2018-12-27,1407918
wgvtglMFpuy8,2018-09-17,1408942
TTuxRumpROUV,2018-09-19,1408942
skiBOr5Rp5zB,2018-10-06,1408942
INC345,2018-12-12,1407918
kB8ikMY9qIo2,2018-12-31,1408942
INC6,2018-08-22,1407918
lhfMLeuXoz5k,2018-10-11,1408942
jAhwTPfWU3Cr,2018-11-15,1408942
INC251,2018-11-25,1407918
eklVAiLRPJFW,2018-09-12,1408942
W62LIrsuDfbX,2018-12-27,1408942
INC105,2018-10-07,1407918
UhkblClOQNVJ,2018-11-26,1408942
INC413,2018-12-27,1407918
INC252,2018-11-16,1407918
INC435,2018-11-29,1407918
INC257,2018-11-15,1407918
oxHEtTqIJLaa,2018-12-09,1408942
INC255,2018-11-16,1407918
INC306,2018-11-30,1407918
oma68aTDIVtI,2018-09-03,1408942
INC419,2018-12-17,1407918
cILLuLkhuuqp,2018-12-28,1408942
59rb4lCmCfPX,2018-12-31,1408942
ncF8BBdzcx3f,2018-09-19,1408942
INC277,2018-11-28,1407918
veB6oIFJO1pC,2018-08-20,1408942
dyqcVHqWXLjG,2018-12-28,1408942
CptETcahcHfR,2018-12-31,1408942
GHxhktaNWloY,2018-10-27,1408942
INC116,2018-10-01,1407918
X7QEX92tNVxe,2018-09-01,1408942
a7jntfMak1vB,2018-11-29,1408942
INC327,2018-12-05,1407918
INC193,2018-11-02,1407918
rqdzCP4ToJHu,2018-12-16,1408942
INC417,2018-12-30,1407918
INC98,2018-10-04,1407918
GVPaWs5c3eCG,2018-09-05,1408942
v8TgWpi5QuWe,2018-12-31,1408942
eO3jNlXjMxi9,2018-12-31,1408942
kLKw6cCKXGCm,2018-12-12,1408942
INC339,2018-12-10,1407918
CnV4r6chMdk9,2018-12-21,1408942
INC445,2018-12-20,1407918
INC349,2018-12-05,1407918
INC429,2018-12-05,1407918
INC348,2018-12-04,1407918
INC204,2018-11-09,1407918
rpcLqEYHFqEq,2018-09-07,1408942
sMXx8lvVGxm8,2018-11-26,1408942
ztUpQbpvQcGv,2018-11-16,1408942
INC258,2018-11-15,1407918
INC346,2018-12-12,1407918
INC55,2018-09-20,1407918
INC253,2018-11-16,1407918
INC369,2018-12-13,1407918
INC90,2018-10-03,1407918
INC422,2018-12-14,1407918
INC386,2018-12-07,1407918
INC78,2018-09-28,1407918
INC377,2018-12-20,1407918
DBI2S7k6sugF,2018-12-19,1408942
RUpqBx1OMinx,2018-12-07,1408942
INC196,2018-11-06,1407918
bchJXxjkrzqW,2018-11-22,1408942
vasWTj274YsD,2018-10-18,1408942
2BqVnr6P8tVp,2018-08-23,1408942
vVnfjsJIBTT2,2018-12-07,1408942
xitYEdEOGoWs,2018-08-21,1408942
YtgCGhxr3jIK,2018-12-23,1408942
INC166,2018-10-15,1407918
n3qKvjxoHvue,2018-09-28,1408942
5deEp799gCVz,2018-12-22,1408942
INC360,2018-12-19,1407918
INC47,2018-09-11,1407918
L11ptegZ9PiK,2018-08-31,1408942
P11rLbDmmbS2,2018-12-12,1408942
eIuFIlEFkTrl,2018-12-27,1408942
INC340,2018-12-12,1407918
INC260,2018-11-16,1407918
INC442,2018-11-30,1407918
49fFvMhQV1jW,2018-08-22,1408942
etADf2zAUDt9,2018-12-27,1408942
EkU2Ovmxv2j2,2018-09-28,1408942
INC395,2018-11-28,1407918
EenwmBxNPPxf,2018-11-24,1408942
INC388,2018-12-07,1407918
INC428,2018-12-05,1407918
INC232,2018-11-16,1407918
sFBHKVLNRkb2,2018-12-30,1408942
INC404,2018-12-27,1407918
INC354,2018-12-05,1407918
bFcV95rxekcc,2018-12-26,1408942
INC199,2018-11-09,1407918
AmdpjLPw9llT,2018-12-27,1408942
aivToJJLoxWC,2018-11-18,1408942
INC162,2018-10-11,1407918
INC104,2018-10-06,1407918
GhOKbUF7GgMz,2018-10-01,1408942
pMWmf1EEKTm9,2018-12-27,1408942
INC54,2018-09-19,1407918
S4aOnZvqverC,2018-12-27,1408942
INC22,2018-08-25,1407918
INC18,2018-08-23,1407918
INC329,2018-12-06,1407918
5S8Pond1BgDI,2018-11-29,1408942
wUdMYepLb8rn,2018-09-15,1408942
INC108,2018-10-08,1407918
INC57,2018-09-21,1407918
INC227,2018-11-14,1407918
INC284,2018-11-30,1407918
XsHqFikAobZo,2018-11-11,1408942
INC259,2018-11-15,1407918
INC58,2018-09-21,1407918
gKVZieYYf1Vl,2018-12-31,1408942
ojNbsTR6A4Bz,2018-12-03,1408942
INC11,2018-08-22,1407918
eNmHQ4GZPYxZ,2018-12-05,1408942
INC69,2018-09-25,1407918
g6Jl4Qo6LAFZ,2018-12-23,1408942
8wmMNANrJtaO,2018-10-25,1408942
INC229,2018-11-14,1407918
INC424,2018-12-19,1407918
INC446,2018-12-22,1407918
dpRTbnGmvxc6,2018-08-24,1408942
fEaO9foHiLcr,2018-12-10,1408942
CGQ6gxM48ENf,2018-09-05,1408942
INC423,2018-12-19,1407918
INC431,2018-12-28,1407918
INC311,2018-11-30,1407918
xAP7cUHq3ODm,2018-11-01,1408942
INC92,2018-10-03,1407918
Y7hT5rZSiNdP,2018-09-12,1408942
OtyANIk64bpZ,2018-12-24,1408942
INC433,2018-12-21,1407918
6bbcZpN19MDK,2018-12-02,1408942
INC371,2018-12-13,1407918
INC280,2018-11-29,1407918
INC186,2018-10-31,1407918
INC183,2018-10-30,1407918
pI7MXj5OdoGP,2018-12-27,1408942
mGlCD1JYK7DD,2018-12-07,1408942
ScMHXeOMpZqJ,2018-12-23,1408942
QJYQG1yFgPYn,2018-08-23,1408942
INC233,2018-11-16,1407918
HCBWiASlLQuY,2018-12-16,1408942
9fHq2lbczDGs,2018-12-30,1408942
Rc3KKgqObemT,2018-08-29,1408942
pwF6PPyVLifM,2018-11-21,1408942
INC45,2018-09-06,1407918
8Bkhj4Xa8rYz,2018-08-28,1408942
5fetOqrhDGLk,2018-11-28,1408942
9lk25WpqL5Sg,2018-08-18,1408942
INC408,2018-12-27,1407918
eaDn6jj265Oy,2018-09-09,1408942
INC285,2018-11-30,1407918
HeDiiNqe8Xab,2018-12-30,1408942
ZVG2TerwVk4n,2018-12-28,1408942
INC177,2018-10-22,1407918
INC164,2018-10-02,1407918
EFF9ldsl158G,2018-11-28,1408942
2VpoJugDcdY3,2018-10-18,1408942
INC207,2018-11-11,1407918
INC119,2018-10-01,1407918
INC351,2018-12-05,1407918
cOiL1FFODMdx,2018-08-24,1408942
fEFOnQkxxDEk,2018-12-30,1408942
3gliJYbDU2mD,2018-11-07,1408942
Iei4BfcuBMbi,2018-12-03,1408942
dcifUIxgiT3p,2018-10-16,1408942
EoBdkuvesUEM,2018-12-13,1408942
ThLTudW6akWr,2018-09-11,1408942
2PSscG6JNEjc,2018-12-31,1408942
bYDgxmmwRhP3,2018-11-19,1408942
INC286,2018-12-02,1407918
INC167,2018-10-19,1407918
INC276,2018-11-28,1407918
INC315,2018-11-30,1407918
INC100,2018-10-04,1407918
INC33,2018-08-30,1407918
Y7Z8hthwETam,2018-10-19,1408942
INC109,2018-09-28,1407918
IJDkD9c9sJxF,2018-10-17,1408942
W9Co1aqzDjYE,2018-10-25,1408942
Spgjz8m6L8Kz,2018-12-19,1408942
INC194,2018-11-03,1407918
gk9DkgcuaCxo,2018-12-16,1408942
jZrwCT9oH1tP,2018-12-31,1408942
INC337,2018-12-10,1407918
frT6VLoRAoip,2018-12-12,1408942
JTRqtyyCByWf,2018-11-23,1408942
INC350,2018-12-06,1407918
rn5hjuyA8Nyb,2018-12-31,1408942
e5GZaXeW6grE,2018-11-21,1408942
fCJh1E7cicnj,2018-12-12,1408942
a4r581IPakTT,2018-12-30,1408942
kICktAFKRRif,2018-09-02,1408942
nhHOURBzE4og,2018-12-30,1408942
INC411,2018-12-27,1407918
INC341,2018-12-12,1407918
INC356,2018-12-06,1407918
ghLXeSbpzGxi,2018-08-31,1408942
INC418,2018-12-31,1407918
INC318,2018-11-30,1407918
tae9Bcmrs475,2018-11-02,1408942
bEedEOeqPTTx,2018-12-31,1408942
INC213,2018-11-13,1407918
INC365,2018-12-22,1407918
lyjOU9xLewcZ,2018-08-22,1408942
Cm7xFIh5sU4x,2018-11-30,1408942
2aKWM2NbWNHb,2018-10-10,1408942
LxpFYh7evLEx,2018-10-11,1408942
ejZ9uDQSACcs,2018-11-10,1408942
INC205,2018-11-09,1407918
INC267,2018-11-16,1407918
atPy9umLkunf,2018-10-02,1408942
INC451,2018-12-18,1407918
INC192,2018-11-02,1407918
EpLGKwirNfkE,2018-11-16,1408942
INC314,2018-11-30,1407918
3cDEJGREhtnv,2018-12-30,1408942
INC88,2018-10-02,1407918
INC302,2018-11-30,1407918
